State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
1,1,0,1,1,0,0,0.3417721518987341,0.2460732984293193,0.2873563218390804,0.0413223140495867
1,1,0,2,3,0,0,0.3367088607594937,0.2418848167539267,0.2827586206896551,0.0578512396694214
1,1,0,11,9,0,0,0.3924050632911393,0.3507853403141361,0.3793103448275862,0.0661157024793388
1,1,0,12,7,0,0,0.1394936708860759,0.2002094240837696,0.2195402298850574,0.0743801652892562
1,1,0,16,11,0,0,0.0936708860759493,0.0460732984293193,0.0666666666666666,0.024793388429752
1,1,0,18,23,0,0,0.0,0.0157068062827225,0.0229885057471264,0.1818181818181818
1,1,0,18,11,0,0,0.0,0.0052356020942408,0.0183908045977011,0.1818181818181818
1,1,0,18,16,0,0,0.0253164556962025,0.0261780104712041,0.0298850574712643,0.1818181818181818
1,1,0,21,15,0,0,0.0835443037974683,0.1308900523560209,0.1034482758620689,0.1900826446280991
1,1,0,23,21,0,0,0.1825316455696202,0.1143455497382198,0.1427586206896551,1.0
1,1,0,25,22,0,0,0.3440506329113924,0.247958115183246,0.2894252873563218,0.1074380165289256
1,1,0,27,24,0,0,0.1825316455696202,0.1143455497382198,0.1427586206896551,0.0
2,3,2,3,20,0,1,0.0886075949367088,0.1099476439790576,0.0977011494252873,0.2809917355371901
2,3,2,4,14,0,1,0.010126582278481,0.0,0.0,0.2727272727272727
2,3,2,6,11,0,1,0.1392405063291139,0.1623036649214659,0.1494252873563218,0.347107438016529
2,3,2,9,8,1,1,0.2911392405063291,0.4764397905759162,0.3908045977011494,0.1735537190082644
2,3,2,19,13,1,1,0.189873417721519,0.1832460732984293,0.1839080459770115,0.140495867768595
2,3,2,20,14,2,1,0.040506329113924,0.0701570680628272,0.057471264367816,0.1652892561983471
2,3,2,0,19,1,2,0.430379746835443,0.7905759162303665,0.6264367816091955,0.1322314049586777
2,3,2,3,20,0,2,0.1139240506329114,0.1748691099476439,0.1436781609195402,0.2809917355371901
2,3,2,4,14,0,2,0.010126582278481,0.025130890052356,0.0172413793103448,0.2727272727272727
2,3,2,5,14,1,2,0.050632911392405,0.1884816753926701,0.1264367816091954,0.578512396694215
2,3,2,6,11,0,2,0.3924050632911393,0.9581151832460733,0.7011494252873564,0.347107438016529
2,3,2,8,14,0,2,0.240506329113924,0.1623036649214659,0.1954022988505747,0.2148760330578512
2,3,2,13,14,0,2,0.3417721518987341,0.3089005235602094,0.3218390804597701,0.6115702479338844
2,3,2,14,14,0,2,0.2911392405063291,0.3162303664921466,0.3045977011494252,0.6033057851239669
2,3,2,17,14,1,2,0.2151898734177215,0.4052356020942408,0.3160919540229884,0.628099173553719
2,3,2,18,18,0,2,0.0379746835443038,0.0827225130890052,0.0459770114942528,0.1818181818181818
2,3,2,21,14,0,2,0.0632911392405063,0.0910994764397905,0.0804597701149425,0.1900826446280991
2,3,2,26,14,0,2,0.0379746835443038,0.0575916230366492,0.0459770114942528,0.6363636363636365
0,4,3,2,5,0,3,0.1772151898734177,0.1141361256544502,0.1402298850574712,0.0578512396694214
0,4,3,11,12,0,3,0.3924050632911393,0.3298429319371728,0.3563218390804597,0.0661157024793388
0,4,3,18,2,0,3,0.0886075949367088,0.0471204188481675,0.0620689655172413,0.1818181818181818
0,4,3,2,5,0,4,0.3670886075949367,0.3089005235602094,0.3333333333333333,0.0578512396694214
0,4,3,11,12,0,4,0.3924050632911393,0.3298429319371728,0.3563218390804597,0.0661157024793388
0,4,3,18,2,0,4,0.0886075949367088,0.0471204188481675,0.0620689655172413,0.1818181818181818
3,2,1,7,14,0,5,1.0,1.0,1.0,0.1983471074380165
3,2,1,8,14,0,5,0.1139240506329114,0.0785340314136125,0.0919540229885057,0.2148760330578512
3,2,1,10,14,0,5,0.240506329113924,0.2670157068062827,0.2413793103448275,0.7107438016528926
3,2,1,16,11,0,5,0.1139240506329114,0.0994764397905759,0.1034482758620689,0.024793388429752
3,2,1,21,14,0,5,0.1139240506329114,0.0994764397905759,0.1034482758620689,0.1900826446280991
3,2,1,22,0,0,5,0.2151898734177215,0.243979057591623,0.1954022988505747,0.0165289256198347
3,2,1,24,14,0,5,0.2911392405063291,0.2670157068062827,0.264367816091954,0.0991735537190082
2,3,2,3,20,0,6,0.0468354430379746,0.0303664921465968,0.0206896551724137,0.2809917355371901
2,3,2,6,11,0,6,0.1341772151898734,0.1204188481675392,0.0988505747126436,0.347107438016529
2,3,2,18,18,0,6,0.0430379746835443,0.0366492146596858,0.0160919540229885,0.1818181818181818
4,0,4,2,17,0,6,0.4605063291139241,0.4684816753926701,0.507816091954023,0.0578512396694214
4,0,4,12,4,0,6,0.3235443037974683,0.3059685863874345,0.3301149425287356,0.0743801652892562
4,0,4,15,10,0,6,0.0767088607594936,0.031413612565445,0.0505747126436781,0.0330578512396694
4,0,4,22,6,0,6,0.1225316455696202,0.0709947643979057,0.0919540229885057,0.0165289256198347
2,0,3,11,1,0,0,0.1274165202108962,0.1135199054000788,0.1213592233009708,0.024390243902439
2,0,3,12,2,0,0,0.5896309314586995,0.6976744186046512,0.7087378640776699,0.2195121951219512
1,2,1,1,9,0,1,0.4982425307557118,0.8348443042964131,0.8673139158576052,0.1463414634146341
1,2,1,3,10,0,1,0.0,0.0,0.0,0.5853658536585366
1,2,1,5,7,0,1,0.6981546572934973,0.6208119826566811,0.6347087378640777,0.1707317073170731
1,2,1,6,12,0,1,0.3576449912126537,0.4000788332676389,0.3952265372168285,0.1951219512195122
1,2,1,9,8,0,1,0.0641476274165202,0.0760741032715806,0.0768608414239482,0.0
1,2,1,10,6,0,1,0.1709138840070298,0.1304690579424517,0.1492718446601941,0.6829268292682926
2,0,3,0,5,0,1,0.1208260105448154,0.0843515963736696,0.1011326860841423,0.6341463414634146
2,0,3,1,9,0,1,0.8923550087873462,0.8383918013401656,0.8369741100323624,0.1463414634146341
2,0,3,4,6,0,1,1.0,1.0,1.0,1.0
2,0,3,6,0,0,1,0.5487697715289982,0.5569570358691368,0.5675566343042071,0.1951219512195122
2,0,3,11,1,0,1,0.1313708260105447,0.1123374063854946,0.1229773462783171,0.024390243902439
2,0,3,11,3,0,1,0.1594903339191564,0.1344107213243989,0.1504854368932038,0.024390243902439
2,0,3,12,2,0,1,0.6436731107205623,0.7043752463539614,0.7224919093851133,0.2195121951219512
0,1,0,2,11,0,2,0.0896309314586994,0.1418998817500985,0.0707928802588996,0.8048780487804877
0,1,0,4,6,0,2,0.1445518453427065,0.1418998817500985,0.1213592233009708,1.0
0,1,0,8,10,0,2,0.0215289982425307,0.067008277493102,0.0080906148867313,0.5121951219512195
1,2,1,1,9,0,2,0.8866432337434095,0.8190776507686244,0.8515372168284789,0.1463414634146341
1,2,1,5,7,0,2,0.586555360281195,0.6133228222309814,0.6456310679611651,0.1707317073170731
1,2,1,6,12,0,2,0.3993848857644991,0.4032321639731967,0.4118122977346278,0.1951219512195122
1,2,1,9,8,0,2,0.0883128295254832,0.0764682696097753,0.0833333333333333,0.0
1,2,1,10,6,0,2,0.1471880492091388,0.1087899093417422,0.1254045307443365,0.6829268292682926
2,3,2,0,5,0,2,0.1313708260105447,0.0942057548285376,0.1112459546925566,0.6341463414634146
2,3,2,1,9,0,2,0.7987697715289982,0.8470634607804494,0.7686084142394822,0.1463414634146341
2,3,2,6,0,0,2,0.5465729349736379,0.5739061884115096,0.5258899676375405,0.1951219512195122
2,3,2,7,4,0,2,0.0874340949033391,0.0512416239653133,0.0687702265372168,0.073170731707317
2,3,2,10,10,0,2,0.1353251318101933,0.0957824201813165,0.113673139158576,0.6829268292682926
2,3,2,11,1,0,2,0.1239015817223198,0.0985415845486795,0.1104368932038835,0.024390243902439
